"stress:0","stress:1","stress:2","stress:3","stress:4","stress:5","stress:6","stress:7","stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9891e-07,7.0517e-05,0,7.0517e-05,1.0753e-17,0,0,0,0,1,0,15,1,0.5
1.8273e-07,6.7588e-05,0,6.7588e-05,1.2471e-17,0,0,0,0,1,1,15,2,0.5
1.5561e-07,6.2372e-05,0,6.2372e-05,5.5971e-18,0,0,0,0,1,2,15,3,0.5
1.3237e-07,5.7525e-05,0,5.7525e-05,-7.4504e-18,0,0,0,0,1,3,15,4,0.5
1.102e-07,5.2488e-05,0,5.2488e-05,-6.5297e-18,0,0,0,0,1,4,15,5,0.5
9.0261e-08,4.7503e-05,0,4.7503e-05,-2.5435e-19,0,0,0,0,1,5,15,6,0.5
7.2244e-08,4.2498e-05,0,4.2498e-05,1.3133e-18,0,0,0,0,1,6,15,7,0.5
5.625e-08,3.75e-05,0,3.75e-05,-1.6015e-18,0,0,0,0,1,7,15,8,0.5
4.2249e-08,3.2499e-05,0,3.2499e-05,-5.1035e-18,0,0,0,0,1,8,15,9,0.5
3.0249e-08,2.75e-05,0,2.75e-05,-5.1692e-18,0,0,0,0,1,9,15,10,0.5
2.0249e-08,2.25e-05,0,2.25e-05,-3.438e-18,0,0,0,0,1,10,15,11,0.5
1.225e-08,1.75e-05,0,1.75e-05,2.32e-18,0,0,0,0,1,11,15,12,0.5
6.2498e-09,1.25e-05,0,1.25e-05,1.5908e-18,0,0,0,0,1,12,15,13,0.5
2.2499e-09,7.4999e-06,0,7.4999e-06,-2.8053e-18,0,0,0,0,1,13,15,14,0.5
2.4999e-10,2.5e-06,0,2.5e-06,8.9326e-20,0,0,0,0,1,14,15,15,0.5
2.4999e-10,-2.5e-06,0,-2.5e-06,-6.0842e-19,0,0,0,0,1,15,15,16,0.5
2.2499e-09,-7.4999e-06,0,-7.4999e-06,-6.2909e-18,0,0,0,0,1,16,15,17,0.5
6.2498e-09,-1.25e-05,0,-1.25e-05,-3.9482e-18,0,0,0,0,1,17,15,18,0.5
1.225e-08,-1.75e-05,0,-1.75e-05,-1.7892e-18,0,0,0,0,1,18,15,19,0.5
2.0249e-08,-2.25e-05,0,-2.25e-05,-5.5556e-18,0,0,0,0,1,19,15,20,0.5
3.0249e-08,-2.75e-05,0,-2.75e-05,-4.3977e-18,0,0,0,0,1,20,15,21,0.5
4.2249e-08,-3.2499e-05,0,-3.2499e-05,-2.2331e-18,0,0,0,0,1,21,15,22,0.5
5.625e-08,-3.75e-05,0,-3.75e-05,3.0014e-19,0,0,0,0,1,22,15,23,0.5
7.2244e-08,-4.2498e-05,0,-4.2498e-05,3.5145e-18,0,0,0,0,1,23,15,24,0.5
9.0261e-08,-4.7503e-05,0,-4.7503e-05,7.0895e-19,0,0,0,0,1,24,15,25,0.5
1.102e-07,-5.2488e-05,0,-5.2488e-05,-5.7241e-18,0,0,0,0,1,25,15,26,0.5
1.3237e-07,-5.7525e-05,0,-5.7525e-05,-1.3132e-18,0,0,0,0,1,26,15,27,0.5
1.5561e-07,-6.2372e-05,0,-6.2372e-05,1.0812e-17,0,0,0,0,1,27,15,28,0.5
1.8273e-07,-6.7588e-05,0,-6.7588e-05,1.0779e-17,0,0,0,0,1,28,15,29,0.5
1.9891e-07,-7.0517e-05,0,-7.0517e-05,6.2529e-18,0,0,0,0,1,29,15,30,0.5
