"velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.3321e-05,-2.4693e-17,0,1,0,15,1,0.5
0.00022435,1.9482e-18,0,1,1,15,2,0.5
0.00035367,7.0826e-17,0,1,2,15,3,0.5
0.00047384,8.7463e-17,0,1,3,15,4,0.5
0.00058377,7.3714e-17,0,1,4,15,5,0.5
0.00068379,5.1364e-17,0,1,5,15,6,0.5
0.00077379,4.5787e-17,0,1,6,15,7,0.5
0.00085379,6.8649e-17,0,1,7,15,8,0.5
0.00092379,5.2841e-17,0,1,8,15,9,0.5
0.00098379,4.7011e-17,0,1,9,15,10,0.5
0.0010338,2.3664e-17,0,1,10,15,11,0.5
0.0010738,1.7891e-17,0,1,11,15,12,0.5
0.0011038,3.8767e-17,0,1,12,15,13,0.5
0.0011238,2.4832e-17,0,1,13,15,14,0.5
0.0011338,4.5374e-18,0,1,14,15,15,0.5
0.0011338,-1.7042e-17,0,1,15,15,16,0.5
0.0011238,-3.1428e-17,0,1,16,15,17,0.5
0.0011038,-5.9188e-17,0,1,17,15,18,0.5
0.0010738,-2.0046e-17,0,1,18,15,19,0.5
0.0010338,-1.1992e-17,0,1,19,15,20,0.5
0.00098379,-4.3644e-17,0,1,20,15,21,0.5
0.00092379,-3.2673e-17,0,1,21,15,22,0.5
0.00085379,-7.1649e-17,0,1,22,15,23,0.5
0.00077379,-2.4837e-17,0,1,23,15,24,0.5
0.00068379,-5.4041e-18,0,1,24,15,25,0.5
0.00058377,-4.8659e-17,0,1,25,15,26,0.5
0.00047384,-6.9077e-17,0,1,26,15,27,0.5
0.00035367,-3.5037e-17,0,1,27,15,28,0.5
0.00022435,-1.4981e-17,0,1,28,15,29,0.5
8.3321e-05,-2.0248e-17,0,1,29,15,30,0.5
